-area:,-length:,-roundIndex:,-eccIndex:,-entropy:
1831.5,318.693,0.226606,0.577875,2.11092
1730,295.338,0.24924,0.548284,2.113
2284,243.539,0.483914,0.25474,2.11384
1039.5,248.125,0.212175,0.182796,2.11552
1918,330.108,0.221181,0.203063,2.12364
1208,184.368,0.446589,0.212366,2.1295
1211.5,173.225,0.514744,0.348582,2.14217
1238.75,183.832,0.444761,0.472855,2.14134
1310,233.225,0.26003,0.319403,2.14226
1600.5,250.752,0.319872,0.586953,2.14208
2934,442.877,0.187976,0.534215,2.14413
3478,349.622,0.357553,0.292863,2.14445
2083,271.338,0.355531,0.423728,2.14108
2211.5,340.492,0.239708,0.35543,2.14121
2265.5,291.238,0.335644,0.322445,2.1399
2445.5,332.409,0.27812,0.35422,2.13971
3072.5,426.836,0.211924,0.458746,2.1414
2356.5,349.179,0.242874,0.448512,2.13999
1999,314.794,0.253495,0.422345,2.13985
3375,343.137,0.360204,0.289528,2.14187
2912,353.622,0.292632,0.616897,2.1404
3088,473.706,0.17293,0.54361,2.13921
1011.5,191.296,0.347346,0.583644,2.13769
1781,235.681,0.402925,0.596864,2.13865
2494,336.936,0.276065,0.562566,2.13824
3553.5,421.806,0.250981,0.672973,2.13954
2031,226.125,0.481785,0.488975,2.14019
2590,341.137,0.279674,0.733612,2.13704
1749.5,299.924,0.2444,0.726971,2.13642
3085,457.563,0.185166,0.474884,2.13717
2883.5,353.38,0.290166,0.611228,2.1377
4007.5,541.12,0.171987,0.616376,2.13754
4739.5,437.179,0.311619,0.537359,2.13929
2195,284.51,0.340761,0.408379,2.13791
3410,404.309,0.262143,0.539244,2.14049
2570.5,407.522,0.194503,0.688401,2.13889
5911.5,514.635,0.280485,0.56975,2.14268
4009.5,402.836,0.310488,0.733438,2.14002
7371,627.647,0.235129,0.523051,2.14252
3236.5,394.693,0.261075,0.538838,2.13799
3715.5,349.037,0.383253,0.554999,2.1376
3178,488.333,0.167468,0.531951,2.13433
3542.25,351.986,0.416084,0.31066,2.13964
6832.5,501.463,0.341438,0.281643,2.1404
3234.5,280.539,0.371147,0.496428,2.14126
6106.5,665.286,0.173374,0.225609,2.13941
2699,388.451,0.224771,0.646286,2.1378
3423.5,336.894,0.379047,0.319671,2.13845
1972,303.48,0.269064,0.604054,2.13635
2937,344.451,0.311071,0.67265,2.13607
3011,349.137,0.310405,0.0215199,2.1375
3541.5,379.179,0.309535,0.443004,2.13892
2708,284.652,0.419982,0.214704,2.13771
1418.5,199.782,0.446609,0.417632,2.13708
2795,366.794,0.261064,0.406208,2.13659
4772.5,372.693,0.43177,0.383458,2.13657
2085.5,220.125,0.540856,0.371265,2.13144
1901,238.853,0.418727,0.575476,2.13073
2380.5,274.125,0.39809,0.257784,2.12828
2031.25,223.903,0.49155,0.387256,2.12592
1134.75,201.761,0.349668,0.489896,2.11877
3239,337.137,0.358103,0.290703,2.11954
4245.5,358.066,0.416114,0.174568,2.11886
3318,374.451,0.29737,0.0714386,2.1201
3336.5,279.581,0.536397,0.318942,2.12292
2389,263.823,0.43132,0.552822,2.121
1728.5,271.752,0.320783,0.580216,2.12332
3215.5,333.238,0.363873,0.183048,2.12392
3436.5,328.238,0.353846,0.4747,2.1307
7727,545.505,0.326305,0.216994,2.1309
1683.5,243.581,0.356564,0.537725,2.11906
2946,392.593,0.240192,0.451958,2.12361
3632,492.877,0.187879,0.521968,2.12683
1923,235.882,0.434309,0.628611,2.1238
1394.75,241.418,0.280223,0.555284,2.12428
1498,205.681,0.444972,0.53434,2.12388
3430,387.421,0.287169,0.578292,2.12971
1691.5,274.409,0.282283,0.641929,2.12684
2449.5,392.836,0.199465,0.693365,2.12853
4679.5,428.978,0.319551,0.385686,2.1323
1286,220.853,0.331318,0.7354,2.12675
1886,288.51,0.284728,0.676652,2.12674
2807,266.167,0.497904,0.376514,2.12923
3808.5,298.752,0.536218,0.186898,2.13622
4516,373.078,0.407722,0.379766,2.13879
3645,365.279,0.343287,0.305273,2.13853
4423,472.049,0.249433,0.584923,2.1371
4232,353.966,0.424457,0.452062,2.13627
2362,296.309,0.338066,0.261118,2.13284
1851,226.024,0.455308,0.469068,2.13125
3086,333.279,0.349132,0.427594,2.13277
2171.5,342.551,0.232551,0.499721,2.13091
3527,323.966,0.422297,0.316468,2.1332
2671.5,340.551,0.289468,0.457961,2.12956
2971,314.652,0.377096,0.446642,2.1294
3384,348.794,0.349544,0.394315,2.12668
981,210.024,0.279473,0.680739,2.12012
3951,361.622,0.37967,0.231934,2.12733
3260,293.48,0.475631,0.439606,2.12495
3392,375.622,0.302108,0.406828,2.12578
2426,271.338,0.414075,0.121312,2.12249
2356.5,307.38,0.31342,0.42871,2.12187
3234,343.48,0.344466,0.310058,2.12312
1884,201.397,0.583694,0.447136,2.12077
1651.75,242.288,0.324567,0.388913,2.12146
2462,339.137,0.268997,0.30554,2.12016
1759.5,312.409,0.226544,0.158895,2.11902
1615,224.368,0.403146,0.329895,2.1179
3922.5,334.693,0.440026,0.158048,2.12128
1163,174.225,0.481467,0.415819,2.1174
1486,221.196,0.381658,0.32516,2.12084
881.5,135.154,0.606418,0.185841,2.11909
1508,233.338,0.348049,0.346191,2.12064
2341.5,275.095,0.38881,0.581722,2.12113
3225,259.338,0.602569,0.243415,2.13469
1597,256.51,0.305005,0.55924,2.13287
1344,199.054,0.426254,0.518759,2.13358
1436.5,231.439,0.337011,0.241016,2.13462
754.5,127.841,0.580138,0.322715,2.13361
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
