1919.0121,25,5.2424,4.6654,0.405429,0.374335,2.22748,,,
2008.1451,24,2.3325,4.7391,0.278582,0.398618,2.22407,1,,
2360.3862,33,3.4314,4.5212,0.181062,0.100635,2.23187,1,,
2231.8157,25,2.2841,5.1161,0.389642,0.586192,2.23569,1,,
1833.9802,20,5.4124,4.3928,0.364584,0.530123,2.24378,1,,
1515.516,17,1.0834,3.9047,0.270026,0.501824,2.25049,1,,
1286.075,20,2.8276,3.5661,0.353745,0.294498,2.25151,1,,
1698.3763,21,3.3619,3.658,0.334236,0.287496,2.25149,1,,
1857.7941,22,2.1966,4.409,0.259164,0.388526,2.24987,1,,
1430.9117,21,1.3848,4.5303,0.29989,0.360549,2.24905,1,,
2072.9763,24,6.9951,5.3054,0.433186,0.448432,2.25095,1,,
2451.7871,19,9.0978,4.0484,0.27239,0.408061,2.24748,1,,
2182.5911,18,4.9753,5.0164,0.489377,0.471251,2.24921,1,,
2155.8721,28,11.1057,4.8072,0.281099,0.458628,2.25138,1,,
2241.2961,21,3.396,5.0027,0.234868,0.346553,2.25025,1,,
2323.7761,19,11.1035,4.8619,0.260667,0.410398,2.24853,1,,
1770.9087,22,29.5882,4.415,0.18892,0.363049,2.24844,1,,
2231.9746,25,25.399,4.5256,0.228796,0.422488,2.24998,1,,
2316.1226,29,5.5686,5.0256,0.40569,0.284768,2.25211,1,,
1656.9707,20,2.2289,3.2749,0.250706,0.413326,2.25025,1,,
2518.6479,28,6.3119,5.0025,0.26751,0.503231,2.25082,1,,
2534.8633,28,2.4899,5.0928,0.29281,0.244303,2.25002,1,,
2087.0593,26,2.3182,5.0323,0.340444,0.481164,2.25183,1,,
2155.061,31,3.5308,4.8803,0.180969,0.550446,2.25288,1,,
2130.3589,42,4.2436,5.0912,0.259293,0.221106,2.25318,1,,
2272.479,32,4.4091,5.1283,0.228288,0.420636,2.25014,1,,
1972.6676,33,12.3417,5.3134,0.355206,0.428765,2.25153,1,,
