-1:,-2:,-3:,-4:,-area:,-length:,-roundIndex:,-eccIndex:,-entropy:
0,0,1.1,2.2,17470.9,503.844,0.624265,0.367496,2.12101
0,0,1.1,2.2,27441.5,784.765,0.483511,0.747201,2.12052
0,0,1.1,2.2,18881.2,575.606,0.453186,0.663402,2.17086
0,0,1.1,2.2,22366.8,614.752,0.514264,0.620478,2.14497
0,0,1.1,2.2,14263.1,489.042,0.551771,0.547076,2.13169
0,0,1.1,2.2,18293.3,517.935,0.537342,0.620946,2.13253
0,0,1.1,2.2,26916.6,718.917,0.430445,0.694101,2.14478
0,0,1.1,2.2,17849.6,488.526,0.518989,0.5876,2.14417
0,0,1.1,2.2,26792.8,630.161,0.583884,0.350278,2.12913
0,0,1.1,2.2,25184.9,935.646,0.323923,0.726411,2.14473
0,0,1.1,2.2,20378,842.014,0.398998,0.713848,2.15986
0,0,1.1,2.2,13354,447.541,0.551856,0.574238,2.15959
0,0,1.1,2.2,14326.5,464.531,0.587381,0.583894,2.16216
0,0,1.1,2.2,14205.1,458.45,0.582464,0.593936,2.16161
0,0,1.1,2.2,14013.6,454.874,0.580447,0.592764,2.16128
0,0,1.1,2.2,14203.9,455.78,0.594744,0.585819,2.16105
0,0,0,0,14172.5,457.131,0.584781,0.589222,2.16108
0,0,1.1,2.2,14174.8,457.711,0.586325,0.603823,2.16135
0,0,1.1,2.2,14171,456.888,0.590978,0.587136,2.16065
0,0,1.1,2.2,14228.4,453.244,0.605374,0.583126,2.16125
0,0,1.1,2.2,14165.3,458.358,0.583296,0.588862,2.1605
0,0,1.1,2.2,14107.9,455.062,0.593158,0.587849,2.16066
0,0,1.1,2.2,14172.2,456.943,0.59384,0.600229,2.1607
0,0,1.1,2.2,14209.5,457.862,0.60347,0.597876,2.16152
0,0,1.1,2.2,14161.6,454.839,0.591951,0.584119,2.16188
0,0,1.1,2.2,14034.6,449.982,0.604047,0.588959,2.16159
0,0,1.1,2.2,13925.9,449.313,0.594231,0.592359,2.16151
0,0,1.1,2.2,14024.3,451.125,0.594473,0.593699,2.16225
0,0,1.1,2.2,13975.7,449.656,0.583713,0.584373,2.16188
0,0,1.1,2.2,13948.5,452.568,0.579778,0.590752,2.1612
0,0,1.1,2.2,14115.6,453.209,0.599394,0.581071,2.16177
0,0,1.1,2.2,14004.8,452.894,0.593794,0.598234,2.16214
0,0,1.1,2.2,14029.2,450.658,0.595809,0.591325,2.16338
0,0,1.1,2.2,14035.2,447.385,0.600108,0.589201,2.16354
0,0,1.1,2.2,14015.1,446.779,0.590886,0.583848,2.16219
0,0,1.1,2.2,14091.1,450.828,0.58478,0.59163,2.16293
0,0,1.1,2.2,14190.9,452.499,0.590306,0.598071,2.16324
0,0,1.1,2.2,14164,452.219,0.603317,0.612235,2.16112
0,0,1.1,2.2,14033.6,452.254,0.593519,0.593651,2.16219
0,0,0,0,13914.9,452.805,0.588555,0.584888,2.16306
0,0,1.1,2.2,14072.4,452.617,0.590636,0.591892,2.16274
0,0,1.1,2.2,14040.6,451.55,0.594631,0.596143,2.16252
0,0,1.1,2.2,14065.1,456.79,0.587896,0.605068,2.16294
0,0,1.1,2.2,14059.4,457.919,0.579092,0.604371,2.16229
