1189.327,6,4.8849,3.0131,1
1535.2045,8,9.5485,3.5465,2
570.6601,3,8.7369,2.5783,3
1176.8588,9,2.4757,3.6227,4
1452.0465,4,1.5391,4.1088,5
1867.4357,7,3.5611,4.1998,6
1013.0253,6,1.8517,3.201,7
2125.2554,5,2.7141,4.7498,8
983.7137,1,2.177,3.278,9
1556.9873,8,2.5871,4.1421,10
998.7238,4,1.4017,3.1715,11
1819.4343,7,3.4508,4.148,12
1916.6538,8,2.2131,4.4465,13
1860.0197,5,1.3595,3.4901,14
1711.326,4,1.0711,3.726,15
1888.0518,7,1.2047,4.0892,16
1900.9636,4,1.3602,4.0232,17
1758.8351,10,1.2366,3.8866,18
2024.9998,11,1.3055,4.8526,19
2036.743,13,1.3289,4.1895,20
1728.9447,14,1.1312,3.3216,21
1761.4762,13,1.0433,3.567,22
1888.2001,12,1.2538,3.8278,23
1870.7701,9,1.054,2.9406,24
1993.5154,13,1.0855,4.1756,25
1906.4095,10,1.2072,3.791,26
1859.4402,8,1.2503,4.5604,27
1762.7317,4,1.1201,4.4672,28
1689.6116,8,1.1135,3.5519,29
2065.5732,14,1.3054,4.5194,30
2037.5334,10,1.2993,4.8882,31
1640.8792,10,1.2866,4.2269,32
1451.7848,10,0.8217,3.4636,33
2103.2454,9,1.2264,4.6875,34
2060.1772,9,1.3381,4.521,35
2275.4041,15,1.2461,4.303,36
1972.16,6,1.0298,4.753,37
1986.5797,10,0.9831,4.7454,38
1718.5634,7,1.1368,4.3729,39
1879.1924,1,1.117,4.3333,40
1775.9863,6,1.0997,4.4837,41
1852.8037,1,0.9804,4.4188,42
1766.0242,5,1.216,3.591,43
1696.9539,5,1.0579,3.6932,44
2020.2802,4,1.041,4.597,45
1611.0449,0,1.0225,4.4101,46
1765.4287,2,1.0391,4.5306,47
1495.054,2,0.8473,4.0275,48
1582.7661,2,0.8499,3.4277,49
1623.2897,1,0.8312,4.2479,50
1330.6576,2,1.0261,3.8884,51
1769.6095,4,0.96,4.1303,52
1523.1361,3,1.0017,4.2983,53
1504.5426,0,0.9225,2.8143,54
1493.4203,3,0.9766,4.2741,55
1974.7451,2,1.0147,4.49,56
1780.5543,2,0.9384,4.1834,57
1568.5813,3,0.9333,3.9569,58
1851.9967,0,1.2244,3.8538,59
1574.4663,2,1.1094,3.0592,60
