-area:,-length:,-roundIndex:,-eccIndex:,-entropy:
135,64.2843,0.41052,0.526977,2.08359
181.5,80.8701,0.348747,0.423657,2.08444
113,79.1127,0.22688,0.582455,2.08349
93,44.1421,0.599772,0.41918,2.08722
128,64.6274,0.385111,0.685952,2.09498
130.5,71.6985,0.319007,0.141224,2.10297
161.5,94.1838,0.228786,0.489885,2.113
112.5,61.5563,0.373093,0.446614,2.11309
96,49.3137,0.496073,0.569555,2.11313
156.5,65.2132,0.462438,0.40878,2.11295
200,81.9411,0.374314,0.379431,2.11206
197,101.598,0.239831,0.334152,2.11369
110.167,56.8227,0.421233,0.347944,2.11393
201.5,81.3553,0.382572,0.573158,2.11437
212.5,115.012,0.201874,0.255687,2.11525
245,127.74,0.188678,0.600867,2.11448
229.5,129.497,0.171977,0.312815,2.1146
89,48.2132,0.529609,0.418257,2.11401
320.5,114.669,0.306299,0.411115,2.11327
153,77.4558,0.320474,0.612436,2.11307
218,78.6274,0.443117,0.51246,2.11371
310.5,123.012,0.257855,0.477515,2.11203
272.5,135.497,0.186515,0.524492,2.11359
211.25,75.163,0.552157,0.413171,2.11321
321,116.083,0.299348,0.624947,2.11308
128.25,74.7487,0.281993,0.439196,2.11444
264,84.7696,0.461672,0.387527,2.1125
95,48.9706,0.49781,0.417887,2.11219
433,142.083,0.269533,0.472082,2.1129
447,123.255,0.369751,0.46983,2.11261
308,132.426,0.220705,0.528238,2.11257
296.5,91.3553,0.446444,0.328852,2.11264
482,178.368,0.190382,0.535236,2.11317
175.75,72.3345,0.396059,0.471656,2.11295
529,120.083,0.461,0.544027,2.11124
249,80.6274,0.481331,0.470996,2.11299
308.5,120.326,0.267761,0.423668,2.11241
354,122.083,0.29847,0.200609,2.11195
316,95.4558,0.435805,0.229529,2.11301
353,115.598,0.331959,0.412974,2.11264
345.5,136.669,0.232444,0.639258,2.11283
283,117.255,0.258663,0.466748,2.11297
277.5,98.1838,0.361737,0.631585,2.11298
312.5,99.0122,0.400574,0.561236,2.11247
349.5,154.468,0.184069,0.470291,2.11351
338,142.912,0.207965,0.446188,2.11326
226.5,89.6985,0.353759,0.118386,2.11234
454.5,146.811,0.264988,0.521393,2.11533
476.5,181.64,0.18149,0.686836,2.11367
472.5,165.64,0.216413,0.471714,2.11361
300.5,142.326,0.186417,0.629864,2.11333
224.5,92.669,0.328516,0.395146,2.11281
265.5,93.3553,0.382821,0.302076,2.11311
369.5,96.5269,0.498342,0.418579,2.11319
394.5,138.326,0.25909,0.454626,2.11247
295,141.255,0.185791,0.636619,2.11231
373.5,110.184,0.386603,0.342446,2.11311
490,128.912,0.370528,0.531954,2.1125
211.5,95.1127,0.336056,0.508761,2.11205
367.5,109.355,0.386178,0.206903,2.11263
640.5,226.267,0.157212,0.552816,2.11162
353,165.054,0.16283,0.405396,2.11335
329,91.4558,0.494291,0.318786,2.11282
357.25,113.548,0.511464,0.371829,2.11399
359.5,109.012,0.380153,0.494864,2.11317
363,109.598,0.379762,0.459691,2.11339
167.5,74.8701,0.391905,0.326637,2.11272
419,151.054,0.23076,0.524426,2.11284
572,177.196,0.228928,0.514636,2.11322
377,133.74,0.264867,0.418719,2.1136
281.5,82.5269,0.519394,0.226884,2.1136
297,81.4558,0.562499,0.324786,2.11357
395,104.083,0.45819,0.267194,2.11246
185.75,77.4056,0.360221,0.239499,2.11177
380,96.7696,0.509936,0.404527,2.1117
255.5,105.355,0.28926,0.271139,2.11288
349,120.426,0.302407,0.416872,2.11229
335.5,139.497,0.216655,0.324691,2.11249
367,130.426,0.27111,0.440261,2.11348
160.5,85.3553,0.276837,0.323286,2.11269
437,183.539,0.163017,0.511818,2.11254
373,154.225,0.197064,0.378198,2.11176
372,141.74,0.232684,0.438075,2.11123
297.5,126.527,0.233524,0.353331,2.11122
200,59.799,0.702833,0.0531358,2.11054
491.5,138.326,0.322795,0.475481,2.11073
145,80.2843,0.282694,0.468046,2.11102
196,99.9411,0.246591,0.251594,2.11099
206,117.598,0.187188,0.405971,2.11118
339,103.598,0.396924,0.36957,2.11088
251,137.74,0.16625,0.33562,2.11053
267,93.9411,0.380198,0.518528,2.11005
162,76.6274,0.346702,0.475844,2.11016
284.5,122.669,0.237587,0.157604,2.11005
311,128.912,0.235172,0.311841,2.11029
151,76.6274,0.323161,0.348697,2.11047
154,79.1127,0.309199,0.471889,2.10938
165.5,86.3848,0.278698,0.612488,2.11012
86,48.1421,0.466292,0.694825,2.10946
318.5,94.5269,0.447928,0.501402,2.10906
297.5,92.1838,0.439934,0.561002,2.10909
142,85.4558,0.244351,0.398814,2.10857
50.5,43.5563,0.334502,0.37854,2.10791
266,102.77,0.316492,0.507564,2.10944
178,111.113,0.181177,0.471109,2.11294
135.5,80.0416,0.265777,0.644743,2.1125
174.5,92.1838,0.258046,0.647569,2.10609
86,60.1421,0.298779,0.655995,2.09617
265.5,105.698,0.298632,0.661376,2.09634
140.5,75.3553,0.310927,0.650448,2.09601
113,70.2843,0.287456,0.408037,2.09356
203,100.77,0.251216,0.686065,2.09385
143,99.9411,0.179911,0.609992,2.09269
70,44.1421,0.451441,0.425782,2.09376
71,50.1421,0.354864,0.632427,2.09363
118,79.4558,0.234877,0.789575,2.09343
64,42.4853,0.445567,0.460234,2.09506
0,0,0,0,0
0,0,0,0,0
