-area:,-length:,-roundIndex:,-eccIndex:,-entropy:
106.5,69.2132,0.279371,0.44991,1.97666
0,0,0,0,0
248,100.426,0.309005,0.421282,1.97851
137,61.4558,0.455831,0.368087,1.97681
141,77.4558,0.295339,0.532215,1.97793
89.5,41.8995,0.640642,0.108421,1.97876
125,58.6274,0.457002,0.406258,1.97677
108.5,68.8701,0.287461,0.268138,1.97784
107,65.799,0.310567,0.486868,1.97907
88,79.4558,0.175162,0.33832,1.97883
85.5,46.7279,0.492066,0.353252,1.97962
156.5,57.2132,0.600802,0.210887,1.97949
128.5,55.8995,0.51677,0.0728577,1.98875
380.5,129.983,0.283004,0.243774,1.99236
123.5,57.6985,0.466174,0.345462,1.99439
0,0,0,0,0
238,97.598,0.313982,0.394677,1.99267
116.5,57.5563,0.441926,0.358894,1.99392
99,73.4558,0.230564,0.535763,1.99334
181,95.9411,0.247103,0.575165,1.99473
134,53.799,0.58179,0.398979,1.9967
186,66.6274,0.526522,0.380272,1.99467
228.5,96.1838,0.310379,0.244119,1.99622
151.5,103.355,0.17822,0.592457,1.99585
0,0,0,0,0
144.5,95.3553,0.199704,0.53104,1.99426
337,172.569,0.142206,0.517882,1.99549
91.25,62.163,0.29559,0.250959,1.99361
374.5,100.527,0.46569,0.342222,1.99419
163,81.9411,0.305066,0.652601,1.99349
88,67.4558,0.243026,0.745396,1.99258
93.5,65.2132,0.276281,0.481034,1.99265
226.5,80.8701,0.435214,0.471882,1.99281
366.5,106.527,0.40585,0.495894,1.99351
165,118.426,0.147842,0.478087,1.99467
198.5,88.5269,0.318288,0.564652,1.99392
120.5,77.2132,0.253988,0.601724,1.99197
98.5,54.3848,0.418496,0.0481254,1.99191
299,111.598,0.301695,0.288038,1.99122
157.25,84.9914,0.294111,0.551697,1.99258
291,87.4558,0.478107,0.169535,1.99403
328,103.941,0.381513,0.348068,1.99333
172.5,99.3553,0.219592,0.341217,1.99399
191.5,84.8701,0.334095,0.312123,1.99356
165.75,76.163,0.419669,0.350636,1.9931
201,83.4558,0.362654,0.356698,1.9928
312,102.77,0.371224,0.194233,1.99239
179,120.083,0.15599,0.163806,1.99326
363,151.054,0.199919,0.480805,1.99251
251,104.77,0.287351,0.507454,1.99326
79.75,44.435,0.490952,0.572972,1.99404
105,55.799,0.423786,0.451531,1.99302
146,64.2843,0.44397,0.379793,1.99216
165,77.4558,0.345609,0.267103,1.9909
118.5,66.8701,0.333016,0.45234,1.98968
184,76.2843,0.397336,0.107954,1.98875
397,126.912,0.30974,0.488993,1.98872
197.5,61.2132,0.662349,0.414718,1.98791
203.5,61.2132,0.682471,0.190188,1.98741
438,195.539,0.143952,0.748496,1.98765
270,99.9411,0.339692,0.674223,1.9874
155.5,64.0416,0.476448,0.246773,1.98674
258,102.426,0.309034,0.378294,1.98809
228,85.4558,0.392339,0.307036,1.98863
342,131.74,0.247628,0.608952,1.98917
202,73.4558,0.470445,0.253764,1.99104
318.5,105.355,0.360584,0.404149,1.994
265,89.9411,0.41166,0.344324,1.99335
78.75,55.0919,0.330528,0.254648,1.99491
87.5,54.3848,0.37176,0.298167,1.99559
172,77.4558,0.360272,0.528046,1.99559
126,62.9706,0.399305,0.334622,2.00069
217.5,84.8701,0.379455,0.45966,1.99548
231.5,94.5269,0.325574,0.517475,1.99176
118,53.799,0.512323,0.400377,1.99297
