-area:,-length:,-roundIndex:,-eccIndex:,-entropy:
355.5,106.669,0.39262,0.253124,2.11804
88,46.9706,0.501235,0.466452,2.11829
71,42.1421,0.532978,0.555825,2.11205
210.5,86.5269,0.353313,0.582075,2.116
186.5,117.012,0.17117,0.323746,2.11012
121.5,65.2132,0.359017,0.457005,2.11353
169.5,94.8701,0.236658,0.670124,2.11732
128.25,59.0919,0.461385,0.529309,2.11935
126,52.799,0.561818,0.198166,2.11942
221,83.1127,0.402038,0.560409,2.11757
157,65.4558,0.460482,0.316037,2.11916
420,141.74,0.262708,0.465576,2.11858
97.75,62.9203,0.462474,0.32311,2.11864
269,148.569,0.153147,0.543956,2.11851
275.5,101.355,0.337006,0.438365,2.11558
215,96.7696,0.288517,0.615922,2.11808
107,57.799,0.402488,0.447909,2.11338
207.5,116.527,0.192033,0.736044,2.11779
135.5,80.8701,0.26036,0.564184,2.11758
182.5,107.841,0.1972,0.718078,2.1154
298,188.225,0.105699,0.574766,2.1175
170.5,71.6985,0.416787,0.454556,2.11852
285,95.9411,0.389086,0.481044,2.11721
378,131.598,0.274286,0.574102,2.11772
217,98.4264,0.281479,0.524302,2.11731
249,94.2843,0.35199,0.551642,2.11804
359.5,147.983,0.206294,0.382284,2.11818
322,101.598,0.392009,0.344449,2.11724
187,88.6274,0.299168,0.403289,2.11872
318.5,133.841,0.223431,0.442162,2.11774
240,93.598,0.344261,0.126748,2.11631
213,102.284,0.255842,0.574654,2.11804
344,156.225,0.177119,0.386125,2.11763
225,79.1127,0.451752,0.534155,2.11594
216,79.8701,0.460553,0.428108,2.1159
409.5,151.154,0.225228,0.536834,2.11411
256.5,97.3553,0.340077,0.262103,2.11411
191,102.426,0.228781,0.474693,2.11555
421,127.255,0.326696,0.575346,2.11543
496.5,161.983,0.237789,0.310964,2.11483
465.5,178.125,0.184366,0.613206,2.11541
499.5,165.782,0.228387,0.647251,2.11548
414,115.941,0.387022,0.250779,2.11528
226.5,111.355,0.229539,0.602827,2.11521
284.25,93.0624,0.464038,0.468726,2.11569
317.5,175.64,0.129333,0.353447,2.11483
265.5,137.497,0.176476,0.466736,2.11445
272,83.1127,0.565602,0.418695,2.11495
437.5,182.811,0.164506,0.472057,2.11417
204,77.799,0.423538,0.550776,2.1139
500,144.569,0.30063,0.451706,2.1148
600.5,289.38,0.0901128,0.597536,2.11495
