-area:,-length:,-roundIndex:,-eccIndex:,-entropy:
1812,293.338,0.264625,0.167444,2.23188
1501.5,297.439,0.213275,0.274812,2.23106
1252,202.711,0.382878,0.334291,2.23129
1778,305.48,0.239428,0.424082,2.23314
1613.5,273.238,0.27158,0.384239,2.2363
1204,272.995,0.203015,0.327262,2.23915
1080.5,154.811,0.566539,0.223166,2.24032
1437,250.853,0.286965,0.394912,2.24743
1253.5,286.409,0.192026,0.256361,2.24661
2478.5,319.723,0.304685,0.124992,2.24915
1171,238.368,0.258984,0.222474,2.24648
1443,259.338,0.269615,0.0511652,2.24643
1201.5,167.983,0.535062,0.236759,2.24812
2230,252.368,0.439995,0.0896252,2.24848
2815.5,303.037,0.385279,0.16009,2.25121
1177.5,165.012,0.543424,0.367214,2.2479
1274.5,316.894,0.159485,0.329473,2.24579
1653,305.681,0.222303,0.451252,2.24676
2115,229.397,0.505062,0.450037,2.24829
1145,185.054,0.420164,0.54965,2.24761
1839,180.912,0.706087,0.224723,2.24703
2128,337.137,0.235271,0.239261,2.25048
2329.5,221.439,0.596988,0.0518199,2.24869
1825.5,232.267,0.425223,0.382529,2.24779
2738.5,263.238,0.496623,0.276441,2.25023
2833,257.338,0.537586,0.364316,2.25177
2030.5,260.409,0.376271,0.0887548,2.2499
2621.5,312.066,0.338273,0.234317,2.2508
3397,310.309,0.44332,0.239464,2.25102
1908.5,251.924,0.377888,0.272676,2.24641
1987,288.652,0.299681,0.561238,2.24725
2321.5,372.208,0.210575,0.0580548,2.24748
1767.5,222.468,0.448781,0.146559,2.247
3854,526.191,0.174918,0.498814,2.25031
1590.75,258.246,0.303765,0.362247,2.2489
2320.5,375.037,0.207321,0.326556,2.24872
2997,335.823,0.333945,0.399473,2.25085
2683.5,365.037,0.253069,0.477852,2.24953
3810,348.451,0.394323,0.442281,2.24871
2160,244.167,0.457676,0.362715,2.25038
3473,341.823,0.373518,0.340648,2.25406
4515.5,440.836,0.291986,0.275784,2.25033
2784,278.853,0.449914,0.426319,2.24702
2380,345.823,0.25008,0.464421,2.24941
2700.5,309.095,0.355197,0.325439,2.24722
1815,241.196,0.392054,0.308568,2.24662
2725,321.823,0.330629,0.447906,2.24815
4098.5,480.149,0.2234,0.18907,2.24787
3104,292.853,0.454813,0.153422,2.24721
4603,584.333,0.169406,0.253933,2.24892
3854.5,392.836,0.313875,0.229292,2.25002
1451.67,229.815,0.36824,0.431778,2.24738
3273.5,425.037,0.227703,0.497332,2.24711
3791,377.563,0.334182,0.489319,2.24908
3313.75,335.572,0.296278,0.380357,2.2503
5022.5,405.037,0.384717,0.623307,2.24956
3787.5,341.581,0.407921,0.444563,2.24773
4652,375.622,0.41433,0.154596,2.24892
4351,400.25,0.3413,0.130055,2.24761
6511.5,700.174,0.166909,0.419741,2.25136
1984.25,218.66,0.505816,0.153538,2.24702
3249.5,481.948,0.175803,0.379631,2.24774
5185.5,694.659,0.135038,0.376483,2.24845
1983.5,206.711,0.446608,0.22012,2.24996
2201.25,311.773,0.272213,0.422289,2.25037
5098,418.593,0.365617,0.553289,2.24917
4612.5,512.492,0.220684,0.487599,2.24763
5211,603.019,0.180081,0.214941,2.24486
3031,416.936,0.219107,0.599042,2.25195
4735.5,348.551,0.489827,0.449218,2.25415
3643.5,305.439,0.490773,0.397177,2.25192
3185,298.51,0.449161,0.518518,2.25291
3635.5,383.037,0.311382,0.369831,2.25241
1565.5,202.811,0.402469,0.359661,2.25218
3151,409.078,0.236617,0.60902,2.25209
4879.5,362.208,0.467379,0.232974,2.25285
4967.5,369.865,0.456311,0.40164,2.25381
5596.5,605.948,0.191538,0.541967,2.25151
1823.33,219.377,0.331613,0.415968,2.2498
5342,657.019,0.15551,0.463803,2.25015
7231.5,621.605,0.235185,0.102889,2.25102
1853.5,223.61,0.379276,0.382228,2.25101
4819,348.652,0.498176,0.240233,2.25165
3104.5,308.238,0.39936,0.37221,2.25355
3222.5,266.296,0.414555,0.544837,2.25179
4846.5,355.723,0.481298,0.404556,2.25483
5767.5,414.208,0.422435,0.10636,2.25483
5509.5,467.664,0.316559,0.186493,2.25662
2267.25,292.631,0.310835,0.265175,2.25592
3562.5,355.238,0.354754,0.23948,2.25522
4033,388.794,0.335273,0.108776,2.254
2718.5,316.167,0.363382,0.49384,2.25505
5565.5,630.434,0.175969,0.409972,2.25631
5554.5,494.007,0.286015,0.462849,2.2573
2050.25,242.589,0.432778,0.447266,2.256
2879.75,280.388,0.472759,0.324521,2.25411
2408,264.995,0.370191,0.382448,2.25278
4702,428.451,0.321877,0.443872,2.25201
5483.5,671.889,0.152641,0.222873,2.25261
6021.5,590.233,0.217204,0.282822,2.25126
4402,423.421,0.308542,0.454584,2.254
4478,373.563,0.403241,0.464617,2.25652
4951.5,469.664,0.28208,0.454444,2.25458
5087.5,638.233,0.156948,0.337109,2.25813
3557,366.451,0.332861,0.396798,2.25255
3524.5,429.806,0.239752,0.269204,2.2504
2403,337.48,0.276934,0.426117,2.25129
4747,439.907,0.308254,0.249569,2.25174
4622,462.735,0.271253,0.427199,2.24992
5370.5,567.948,0.209222,0.43018,2.25001
3002.5,399.179,0.236787,0.358343,2.24954
4324.5,490.149,0.226198,0.721157,2.25097
3699,446.593,0.233061,0.418056,2.25107
3478.5,355.38,0.346112,0.54434,2.25045
3731,386.936,0.313153,0.355364,2.25688
2856.5,322.752,0.344592,0.39857,2.25357
3748,479.563,0.204794,0.441882,2.2508
1714.5,254.953,0.331456,0.535765,2.2494
2573,385.137,0.217981,0.385869,2.24835
2313,228.368,0.557336,0.324587,2.24914
2182.5,330.066,0.251746,0.628934,2.25005
4929,415.421,0.358915,0.5643,2.25006
2706.5,292.409,0.397774,0.161407,2.24623
1090,168.245,0.407523,0.371932,2.24382
2267.5,289.782,0.339324,0.237438,2.2449
