-area:,-length:,-roundIndex:,-eccIndex:,-entropy:
0,0,0,0,0
188,84.9706,0.327213,0.39656,2.08771
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
189.5,73.2132,0.444263,0.390166,2.12514
310.5,100.87,0.383484,0.346019,2.12356
325,93.1127,0.471059,0.400234,2.13222
626.5,119.841,0.54818,0.253711,2.13807
252.5,87.6985,0.41256,0.485106,2.13772
318,105.456,0.359332,0.322024,2.13741
464,111.941,0.465317,0.589536,2.13776
471,134.912,0.325186,0.242658,2.13871
343.5,119.012,0.304757,0.503329,2.13557
264.5,118.184,0.237969,0.443945,2.13608
364.5,95.8406,0.498664,0.50546,2.13844
285,81.1127,0.544348,0.330577,2.13874
400,111.598,0.403606,0.36773,2.13768
240,81.4558,0.454545,0.489119,2.13651
394,128.912,0.297935,0.385309,2.13797
272.5,98.5269,0.35275,0.41189,2.1371
414,104.426,0.477078,0.31955,2.13689
384.5,143.841,0.23353,0.371182,2.13695
367,118.426,0.328836,0.35393,2.13687
270.5,85.6985,0.46284,0.382382,2.13735
239,93.1127,0.34641,0.421613,2.13564
227,72.1421,0.548097,0.266778,2.13681
246,107.598,0.267016,0.411853,2.13657
419,107.456,0.455999,0.138794,2.13779
434,160.912,0.210632,0.39506,2.13682
425.5,147.841,0.244637,0.550781,2.13752
258.25,96.7487,0.334239,0.449748,2.13556
513.5,120.184,0.446744,0.232183,2.13805
281.5,98.0416,0.368016,0.363738,2.13734
603.5,112.042,0.604127,0.09132,2.13764
471.5,165.497,0.216326,0.415584,2.13635
747.5,240.61,0.162253,0.157122,2.13686
351.5,81.2132,0.669702,0.247718,2.13635
0,0,0,0,0
572.5,153.154,0.306709,0.230499,2.13784
764,130.426,0.564381,0.162162,2.13812
384.5,114.184,0.370593,0.300974,2.13607
433,133.941,0.303298,0.36498,2.13565
473,168.569,0.209179,0.590172,2.13444
843.5,230.125,0.200156,0.31232,2.13595
555.5,171.154,0.238297,0.113457,2.13635
272,101.941,0.328912,0.328566,2.13541
897,163.74,0.420428,0.630867,2.13646
604.5,165.497,0.277347,0.525025,2.13644
287.5,87.6985,0.469746,0.413027,2.13408
580.5,157.983,0.292276,0.0610016,2.1364
578,129.255,0.434755,0.401739,2.13506
185,67.2132,0.510765,0.385139,2.13581
654,274.024,0.109448,0.0741365,2.13528
766,142.426,0.474523,0.28377,2.1362
664,190.569,0.229761,0.402918,2.13556
353,124.77,0.284949,0.237108,2.13536
820,141.941,0.511455,0.512553,2.13572
1083.5,147.012,0.629988,0.173271,2.13767
211,74.6274,0.506271,0.231631,2.13567
500.5,149.497,0.281414,0.213782,2.13567
306,88.2132,0.493085,0.500997,2.1356
531,127.113,0.412978,0.330116,2.13566
717.5,135.841,0.488621,0.291851,2.13675
538.5,123.012,0.447197,0.330489,2.13546
831,180.912,0.319064,0.429039,2.13557
951.5,176.811,0.382472,0.0646013,2.13632
532,143.598,0.324209,0.367556,2.13456
666,173.74,0.277258,0.376345,2.13431
988,195.882,0.323576,0.595178,2.13515
1237.5,251.782,0.245305,0.584834,2.13485
877,149.397,0.493771,0.110359,2.13549
811,129.941,0.603584,0.102608,2.13389
788.5,147.497,0.41523,0.208121,2.13382
1451,222.711,0.367617,0.445662,2.13485
950.5,142.669,0.586817,0.167481,2.13331
424.75,105.991,0.420705,0.315677,2.1323
1016.5,189.497,0.355722,0.355888,2.13272
836,182.569,0.315184,0.454537,2.13228
794,207.882,0.230885,0.501465,2.13068
523,145.598,0.310028,0.532655,2.13121
951,168.569,0.420569,0.311288,2.13108
921,191.397,0.315936,0.569873,2.13337
510.75,126.548,0.398671,0.422372,2.13208
298.5,79.4558,0.579226,0.198531,2.13296
821,203.74,0.248542,0.520495,2.13294
350.5,92.0416,0.519911,0.44654,2.13116
652,124.426,0.529215,0.536686,2.1306
365.5,120.941,0.336477,0.361093,2.1298
1069.5,210.811,0.302415,0.578142,2.13163
555,154.083,0.29376,0.226551,2.1308
607,154.083,0.321283,0.441478,2.13546
1456,230.569,0.344169,0.512267,2.1416
784,167.74,0.350148,0.604644,2.14472
850,187.74,0.30305,0.32558,2.14357
1170.5,265.581,0.208539,0.364044,2.1445
695.5,223.782,0.174525,0.570219,2.14452
581.5,145.012,0.347497,0.579045,2.14316
479.5,108.527,0.511592,0.322024,2.14312
585,121.598,0.497179,0.366467,2.14327
768,185.054,0.281822,0.392503,2.14455
1036.5,184.326,0.38336,0.2983,2.14491
604,119.598,0.530639,0.275151,2.1448
1219.5,195.64,0.400385,0.275631,2.14564
447.5,185.64,0.163178,0.461041,2.14407
479,105.113,0.544797,0.465592,2.1454
813.5,161.64,0.391266,0.332352,2.14505
536.5,142.326,0.332822,0.39636,2.14406
381.75,112.062,0.411734,0.350626,2.14501
530.5,155.497,0.275707,0.0704024,2.14432
862,229.054,0.206463,0.293983,2.14414
1027.5,196.468,0.334509,0.263587,2.14481
599,158.083,0.301207,0.539612,2.14293
795.5,161.983,0.380989,0.0784349,2.14232
615,133.255,0.43523,0.186113,2.1418
630.5,181.012,0.241813,0.374107,2.14207
