1621.7542,7,3.9447,4.2663,0.262774,0.375328,2.14921,1,10m,
2202.8943,5,7.9809,4.8096,0.2874,0.49231,2.14958,1,,
1808.8231,6,15.8838,4.3843,0.381268,0.596886,2.14971,1,,
1398.5195,7,1.8052,3.8892,0.29492,0.345643,2.15462,1,,
2154.6572,9,4.6335,4.1536,0.355612,0.554033,2.15928,1,,
2455.8284,7,20.186,5.2346,0.490243,0.255101,2.16253,1,,
1931.553,12,4.3765,4.7823,0.252572,0.575568,2.16964,1,,
1984.646,14,5.9832,4.7278,0.332653,0.612523,2.17188,1,,
2082.9517,9,4.0071,5.3587,0.297206,0.663357,2.1724,1,,
1653.2721,12,7.4556,3.9663,0.305171,0.525631,2.17136,1,,
2538.0232,8,5.0178,5.1712,0.255055,0.539014,2.17126,1,,
2411.4927,9,4.5539,4.865,0.412527,0.484195,2.16917,1,,
1711.1909,14,3.7058,4.4309,0.337828,0.319837,2.17005,1,,
1707.2902,8,1.7686,4.6914,0.358915,0.478151,2.17002,1,,
1930.4136,16,3.5699,5.2764,0.292185,0.559838,2.17104,1,,
1734.6443,12,3.5365,4.6389,0.302891,0.52275,2.1689,1,,
2308.9683,9,2.1376,5.0629,0.267763,0.599752,2.16956,1,,
2318.9399,15,3.6721,4.8829,0.240194,0.563161,2.16769,1,,
2324.2529,10,2.6362,4.5902,0.426322,0.542811,2.16728,1,,
2245.4119,9,3.5283,4.9394,0.481504,0.480521,2.16623,1,,
2425.7256,12,3.0065,4.3025,0.340604,0.450144,2.16665,1,,
2530.3635,14,2.2594,4.7696,0.44437,0.29118,2.16447,1,,
2383.2344,13,5.2133,5.3011,0.310074,0.51192,2.16176,1,,
1968.2144,21,2.3145,4.898,0.312763,0.532207,2.15939,1,,
2048.4995,12,4.3067,4.955,0.249744,0.280404,2.15893,1,,
2523.2188,13,3.8385,4.5177,0.38893,0.271473,2.1606,1,,
1976.7554,23,3.9455,4.9002,0.304224,0.388719,2.16179,1,,
1489.396,18,3.2104,4.2018,0.463429,0.355111,2.16046,1,,
2457.552,17,3.5554,5.3012,0.403446,0.360466,2.16207,1,,
2540.6785,22,2.5056,4.8754,0.184355,0.0924723,2.15972,1,,
