
218.6697 0 0.1659 1.5263

[2022-12-09 16:22:58.210]# RECV ASCII>
353.8511 0 0.2683 1.7869

[2022-12-09 16:22:59.027]# RECV ASCII>
56.7954 0 0.1556 0.8847

[2022-12-09 16:22:59.824]# RECV ASCII>
192.3694 0 0.7826 1.1764

[2022-12-09 16:23:00.642]# RECV ASCII>
296.9328 0 0.5891 1.6536

[2022-12-09 16:23:01.442]# RECV ASCII>
219.8601 0 0.2349 1.2297

[2022-12-09 16:23:02.250]# RECV ASCII>
332.7968 0 0.4254 1.6052

[2022-12-09 16:23:03.055]# RECV ASCII>
1051.5656 0 0.4040 2.8580

[2022-12-09 16:23:03.860]# RECV ASCII>
294.2417 0 0.2035 1.6254

[2022-12-09 16:23:04.676]# RECV ASCII>
533.7132 0 1.9907 2.3912

[2022-12-09 16:23:05.505]# RECV ASCII>
196.6665 0 0.1704 1.5539

[2022-12-09 16:23:06.286]# RECV ASCII>
230.2774 0 0.3571 1.4688

[2022-12-09 16:23:07.091]# RECV ASCII>
185.2280 0 1.2463 1.4581

[2022-12-09 16:23:07.896]# RECV ASCII>
222.0980 0 0.5110 1.5598

[2022-12-09 16:23:08.705]# RECV ASCII>
64.4179 0 0.1564 0.7447

[2022-12-09 16:23:09.511]# RECV ASCII>
468.8561 0 0.4603 1.9404

[2022-12-09 16:23:10.315]# RECV ASCII>
97.0974 0 0.1009 0.8663

[2022-12-09 16:23:11.125]# RECV ASCII>
234.7135 0 0.1485 1.6811

[2022-12-09 16:23:11.931]# RECV ASCII>
63.8122 0 0.2009 0.7177

[2022-12-09 16:23:12.735]# RECV ASCII>
38.4778 0 0.6784 0.6051

[2022-12-09 16:23:13.540]# RECV ASCII>
166.9902 0 0.3440 1.4253

[2022-12-09 16:23:14.358]# RECV ASCII>
314.4886 0 0.2022 1.4832

[2022-12-09 16:23:15.154]# RECV ASCII>
45.3143 0 0.1951 0.7638

[2022-12-09 16:23:15.972]# RECV ASCII>
249.3431 0 3.8394 1.7614

[2022-12-09 16:23:16.776]# RECV ASCII>
44.4657 0 0.1293 0.6996
