
380.1059 0 1.0208 1.3672

[2022-12-09 15:54:50.827]# RECV ASCII>
410.6174 1 0.3913 1.7298

[2022-12-09 15:54:51.642]# RECV ASCII>
123.1009 0 1.9124 0.8375

[2022-12-09 15:54:52.446]# RECV ASCII>
76.4864 0 0.6946 0.7711

[2022-12-09 15:54:53.252]# RECV ASCII>
21.2977 1 0.1734 0.4886

[2022-12-09 15:54:54.057]# RECV ASCII>
45.3326 0 0.1350 0.5758

[2022-12-09 15:54:54.866]# RECV ASCII>
252.2347 1 0.6067 1.6802

[2022-12-09 15:54:55.671]# RECV ASCII>
108.2083 1 0.1037 0.9279

[2022-12-09 15:54:56.479]# RECV ASCII>
11.2096 1 0.1645 0.3180

[2022-12-09 15:54:57.284]# RECV ASCII>
19.2114 2 0.1900 0.3718

[2022-12-09 15:54:58.089]# RECV ASCII>
19.9713 0 0.2789 0.3569

[2022-12-09 15:54:58.898]# RECV ASCII>
127.8230 3 0.4157 0.7985
